p_do,p_po,t_do,t_po
the dax whiffled us the tove .,the dax whiffled the tove for us .,a vlim gorped them a zib .,a vlim gorped a zib to them .
the kiki porked me the tumtum .,the kiki porked the tumtum for me .,a vorpal pilked him a dax .,a vorpal pilked a dax to him .
the jubjub whiffled them the blicket .,the jubjub whiffled the blicket to them .,a quib blemed him a tulgey .,a quib blemed a tulgey for him .
a rath glorked him a tumtum .,a rath glorked a tumtum for him .,the quib blemed you the dril .,the quib blemed the dril to you .
the borogove burbled them the uffish .,the borogove burbled the uffish for them .,a blicket strugged her a mome .,a blicket strugged a mome to her .
a zib fazzed him a tove .,a zib fazzed a tove to him .,the frob yomped them the uffish .,the frob yomped the uffish for them .
the bandersnatch pilked them the dril .,the bandersnatch pilked the dril to them .,a uffish outgrabed us a boojum .,a uffish outgrabed a boojum for us .
a dax glorked him a manxome .,a dax glorked a manxome to him .,the snark yomped you the narp .,the snark yomped the narp for you .
the tove pilked me the dax .,the tove pilked the dax for me .,a fep outgrabed her a tumtum .,a fep outgrabed a tumtum to her .
a slithy glorked you a tumtum .,a slithy glorked a tumtum for you .,the dax burbled her the snark .,the dax burbled the snark to her .
the quib quilliged me the bandersnatch .,the quib quilliged the bandersnatch for me .,a glorp porked us a borogove .,a glorp porked a borogove to us .
the bouba fazzed him the kiki .,the bouba fazzed the kiki to him .,a borogove gimbled me a narp .,a borogove gimbled a narp for me .
the rath outgrabed him the bouba .,the rath outgrabed the bouba for him .,a borogove gimbled her a manxome .,a borogove gimbled a manxome to her .
a vlim galumphed him a kiki .,a vlim galumphed a kiki to him .,the snark outgrabed them the zorp .,the snark outgrabed the zorp for them .
the rath quilliged him the frabjous .,the rath quilliged the frabjous for him .,a manxome strugged her a blicket .,a manxome strugged a blicket to her .
the frob quilliged her the uffish .,the frob quilliged the uffish to her .,a glorp galumphed them a dax .,a glorp galumphed a dax for them .
a jubjub pilked them a fep .,a jubjub pilked a fep to them .,the glorp galumphed her the slithy .,the glorp galumphed the slithy for her .
a mome porked you a crunk .,a mome porked a crunk to you .,the tumtum strugged her the tove .,the tumtum strugged the tove for her .
a kiki burbled us a mome .,a kiki burbled a mome for us .,the glorp pilked her the narp .,the glorp pilked the narp to her .
the borogove chortled them the bandersnatch .,the borogove chortled the bandersnatch to them .,a fep gorped us a tulgey .,a fep gorped a tulgey for us .
the bouba porked you the tulgey .,the bouba porked the tulgey for you .,a blicket chortled him a boojum .,a blicket chortled a boojum to him .
a snark galumphed him a bouba .,a snark galumphed a bouba to him .,the uffish pilked me the tove .,the uffish pilked the tove for me .
a borogove outgrabed you a wug .,a borogove outgrabed a wug to you .,the vorpal pilked him the zib .,the vorpal pilked the zib for him .
the boojum galumphed you the snark .,the boojum galumphed the snark for you .,a jubjub whiffled me a quib .,a jubjub whiffled a quib to me .
the bouba fazzed us the glorp .,the bouba fazzed the glorp for us .,a quib gimbled her a crunk .,a quib gimbled a crunk to her .
the tove glorked him the tumtum .,the tove glorked the tumtum for him .,a wug snickered you a dax .,a wug snickered a dax to you .
a frabjous porked me a dax .,a frabjous porked a dax to me .,the zib outgrabed him the vlim .,the zib outgrabed the vlim for him .
a vorpal burbled him a glorp .,a vorpal burbled a glorp to him .,the narp gimbled them the frabjous .,the narp gimbled the frabjous for them .
the kiki glorked me the blicket .,the kiki glorked the blicket for me .,a dax chortled you a bandersnatch .,a dax chortled a bandersnatch to you .
a vorpal crinked them a snark .,a vorpal crinked a snark for them .,the kiki yomped us the jubjub .,the kiki yomped the jubjub to us .
the snark gimbled them the crunk .,the snark gimbled the crunk to them .,a dril snickered me a wug .,a dril snickered a wug for me .
the frob whiffled her the uffish .,the frob whiffled the uffish for her .,a bandersnatch blemed us a slithy .,a bandersnatch blemed a slithy to us .
a kiki pilked me a bouba .,a kiki pilked a bouba to me .,the manxome galumphed him the crunk .,the manxome galumphed the crunk for him .
the slithy chortled you the frabjous .,the slithy chortled the frabjous to you .,a quib outgrabed them a mome .,a quib outgrabed a mome for them .
the dax yomped them the tulgey .,the dax yomped the tulgey for them .,a narp blemed you a manxome .,a narp blemed a manxome to you .
the narp glorked him the vorpal .,the narp glorked the vorpal for him .,a crunk gorped them a tumtum .,a crunk gorped a tumtum to them .
a crunk gimbled us a zib .,a crunk gimbled a zib to us .,the blicket whiffled him the wug .,the blicket whiffled the wug for him .
the tulgey pilked him the quib .,the tulgey pilked the quib to him .,a rath crinked us a dax .,a rath crinked a dax for us .
the vorpal galumphed you the frob .,the vorpal galumphed the frob to you .,a borogove yomped her a bouba .,a borogove yomped a bouba for her .
the zorp gimbled him the crunk .,the zorp gimbled the crunk to him .,a frob galumphed her a wug .,a frob galumphed a wug for her .
the dax burbled her the frob .,the dax burbled the frob for her .,a narp strugged us a bandersnatch .,a narp strugged a bandersnatch to us .
a jubjub outgrabed him a tulgey .,a jubjub outgrabed a tulgey to him .,the snark gimbled them the dax .,the snark gimbled the dax for them .
the frob burbled me the manxome .,the frob burbled the manxome for me .,a boojum outgrabed him a jubjub .,a boojum outgrabed a jubjub to him .
the snark gorped me the kiki .,the snark gorped the kiki to me .,a borogove quilliged us a zorp .,a borogove quilliged a zorp for us .
a bouba galumphed her a snark .,a bouba galumphed a snark to her .,the tulgey whiffled me the frabjous .,the tulgey whiffled the frabjous for me .
the boojum pilked them the narp .,the boojum pilked the narp to them .,a quib chortled me a rath .,a quib chortled a rath for me .
a blicket chortled me a dril .,a blicket chortled a dril for me .,the wug snickered him the quib .,the wug snickered the quib to him .
a manxome burbled you a snark .,a manxome burbled a snark for you .,the bandersnatch strugged her the zib .,the bandersnatch strugged the zib to her .
the bandersnatch blemed you the quib .,the bandersnatch blemed the quib for you .,a glorp outgrabed me a tumtum .,a glorp outgrabed a tumtum to me .
the dax gimbled her the snark .,the dax gimbled the snark for her .,a zorp whiffled us a boojum .,a zorp whiffled a boojum to us .
a quib quilliged you a borogove .,a quib quilliged a borogove to you .,the zib glorked her the narp .,the zib glorked the narp for her .
a bouba pilked us a wug .,a bouba pilked a wug to us .,the frabjous chortled you the frob .,the frabjous chortled the frob for you .
the frabjous glorked her the mome .,the frabjous glorked the mome to her .,a frob pilked you a dax .,a frob pilked a dax for you .
a boojum pilked me a rath .,a boojum pilked a rath to me .,the glorp outgrabed him the dax .,the glorp outgrabed the dax for him .
a tulgey galumphed her a mome .,a tulgey galumphed a mome for her .,the dril outgrabed you the uffish .,the dril outgrabed the uffish to you .
a tulgey glorked us a borogove .,a tulgey glorked a borogove for us .,the zorp strugged me the bouba .,the zorp strugged the bouba to me .
the bandersnatch quilliged me the uffish .,the bandersnatch quilliged the uffish for me .,a blicket burbled him a snark .,a blicket burbled a snark to him .
the frob gimbled me the zib .,the frob gimbled the zib to me .,a mome crinked you a borogove .,a mome crinked a borogove for you .
a vlim outgrabed us a blicket .,a vlim outgrabed a blicket for us .,the frob blemed you the zorp .,the frob blemed the zorp to you .
the bouba fazzed him the vlim .,the bouba fazzed the vlim for him .,a tove strugged me a uffish .,a tove strugged a uffish to me .
the crunk snickered you the slithy .,the crunk snickered the slithy for you .,a zib quilliged me a snark .,a zib quilliged a snark to me .
a tumtum whiffled me a fep .,a tumtum whiffled a fep for me .,the manxome strugged you the borogove .,the manxome strugged the borogove to you .
the blicket pilked us the jubjub .,the blicket pilked the jubjub to us .,a snark gimbled him a vorpal .,a snark gimbled a vorpal for him .
the dril galumphed them the bandersnatch .,the dril galumphed the bandersnatch to them .,a tulgey snickered you a mome .,a tulgey snickered a mome for you .
a zib yomped them a narp .,a zib yomped a narp for them .,the borogove outgrabed her the dax .,the borogove outgrabed the dax to her .
a zib gimbled me a manxome .,a zib gimbled a manxome to me .,the narp whiffled you the wug .,the narp whiffled the wug for you .
the crunk galumphed me the slithy .,the crunk galumphed the slithy for me .,a wug chortled us a bandersnatch .,a wug chortled a bandersnatch to us .
a crunk pilked them a wug .,a crunk pilked a wug for them .,the bouba crinked us the rath .,the bouba crinked the rath to us .
the uffish crinked him the zib .,the uffish crinked the zib to him .,a glorp yomped me a vlim .,a glorp yomped a vlim for me .
a rath pilked them a tove .,a rath pilked a tove for them .,the mome yomped me the bandersnatch .,the mome yomped the bandersnatch to me .
a frabjous snickered you a narp .,a frabjous snickered a narp to you .,the borogove whiffled him the tulgey .,the borogove whiffled the tulgey for him .
the bandersnatch fazzed her the narp .,the bandersnatch fazzed the narp to her .,a mome yomped you a vlim .,a mome yomped a vlim for you .
a quib chortled her a glorp .,a quib chortled a glorp to her .,the tulgey crinked him the tove .,the tulgey crinked the tove for him .
the boojum strugged me the frabjous .,the boojum strugged the frabjous for me .,a kiki snickered her a narp .,a kiki snickered a narp to her .
a jubjub snickered them a frabjous .,a jubjub snickered a frabjous for them .,the uffish strugged us the borogove .,the uffish strugged the borogove to us .
the frob outgrabed her the rath .,the frob outgrabed the rath for her .,a tulgey fazzed you a kiki .,a tulgey fazzed a kiki to you .
the vlim pilked us the kiki .,the vlim pilked the kiki for us .,a crunk snickered her a tulgey .,a crunk snickered a tulgey to her .
a tulgey whiffled us a borogove .,a tulgey whiffled a borogove for us .,the vlim gimbled me the bouba .,the vlim gimbled the bouba to me .
a frabjous galumphed us a mome .,a frabjous galumphed a mome to us .,the tove whiffled him the glorp .,the tove whiffled the glorp for him .
the tumtum porked her the manxome .,the tumtum porked the manxome to her .,a jubjub burbled them a crunk .,a jubjub burbled a crunk for them .
the slithy strugged her the vlim .,the slithy strugged the vlim to her .,a blicket gorped them a fep .,a blicket gorped a fep for them .
the wug yomped me the frob .,the wug yomped the frob for me .,a vlim blemed him a slithy .,a vlim blemed a slithy to him .
the tumtum fazzed her the narp .,the tumtum fazzed the narp to her .,a glorp crinked us a vorpal .,a glorp crinked a vorpal for us .
the mome gorped you the dril .,the mome gorped the dril to you .,a frob outgrabed me a blicket .,a frob outgrabed a blicket for me .
the bouba gorped me the blicket .,the bouba gorped the blicket to me .,a borogove crinked you a dril .,a borogove crinked a dril for you .
the frabjous whiffled me the mome .,the frabjous whiffled the mome for me .,a zib porked them a dax .,a zib porked a dax to them .
a vorpal snickered me a tumtum .,a vorpal snickered a tumtum to me .,the dax glorked us the bouba .,the dax glorked the bouba for us .
